feature,importance
Visual,0.27162031077897714
Intensity,0.08541397542775106
Vertigo,0.08071255469047806
Character,0.07654638694541918
Frequency,0.06343598782169506
Location,0.06318353380839913
Age,0.06275844072051072
Sensory,0.047198847621381206
Tinnitus,0.0408845824925834
Dysphasia,0.03427500805531041
DPF,0.032658416567838584
Phonophobia,0.02235023055307757
Photophobia,0.02229345111472692
Duration,0.021984757454123514
Defect,0.018254576951576236
Hypoacusis,0.015237420477948446
Vomit,0.014189303858384728
Conscience,0.011263542608846681
Nausea,0.006648406926181497
Diplopia,0.004085742289942494
Paresthesia,0.002640857039542554
Dysarthria,0.0023636657953055333
